title,publisher,print_issn,e_issn,for_code,year_inception,abdc_2025
Public Law: the constitutional and administrative law of the Commonwealth,Sweet & Maxwell,0033-3565,,4801,1956,A
Restitution Law Review,Marenex Press,1351-170X,,4801,1993,A
Singapore Journal of Legal Studies,National University of Singapore,0218-2173,,4801,1959,A
Stanford Journal of International Law,Stanford University Press,0731-5082,,4801,1966,A
"Stanford Journal of Law, Business and Finance",Stanford University Press,1078-8794,,4801,1994,A
Statute Law Review,Oxford University Press,0144-3593,1464-3863,4801,1980,A
Tax Law Review,New York University School of Law,0040-0041,,4801,1945,A
Texas International Law Journal,University of Texas School of Law,0163-7479,,4801,1965,A
The Business Lawyer,American Bar Association,0007-6899,,4801,1946,A
The Florida Tax Review,University of Florida Press,1066-3487,,4801,1992,A
Tort Law Review,Thomson Reuters,1039-3285,,4801,1993,A
Torts Law Journal,LexisNexis,1038-5967,,4801,1993,A
Tulane Maritime Law Journal,Tulane University Law School,1048-3748,,4801,1975,A
University of New South Wales Law Journal,University of New South Wales,0313-0096,,4801,1975,A
University of Toronto Law Journal,University of Toronto Press,0042-0220,1710-1174,4801,1935,A
Virginia Tax Review,University of Virginia School of Law,0735-9004,,4801,1981,A
eJournal of Tax Research,Australian School of Taxation and Business Law,1448-2398,,4801,2003,A
Annals of Probability,Institute of Mathematical Statistics,0091-1798,2168-894X,4905,1973,A*
Biometrika,Oxford University Press,0006-3444,1464-3510,4905,1901,A*
Journal of Computational and Graphical Statistics,Taylor & Francis Online,1061-8600,1537-2715,4905,1992,A*
Journal of the American Statistical Association,Taylor & Francis Online,0162-1459,1537-274X,4905,1888,A*
"Journal of the Royal Statistical Society, Series B (Statistical Methodology)",Wiley-Blackwell Publishing,,1467-9868,4905,1934,A*
Probability Theory and Related Fields,Springer International Publishing,0178-8051,1432-2064,4905,1962,A*
Advances in Applied Probability,Applied Probability Trust,0001-8678,1475-6064,4905,1964,A
Annals of Applied Probability,Institute of Mathematical Statistics,1050-5164,2168-8737,4905,1991,A
Annals of Applied Statistics,Institute of Mathematical Statistics,1932-6157,1941-7330,4905,2007,A
Annals of the Institute of Statistical Mathematics,Springer International Publishing,0020-3157,1572-9052,4905,1949,A
Australian and New Zealand Journal of Statistics,Wiley-Blackwell Publishing,1369-1473,1467-842X,4905,1959,A
Bernoulli,Bernoulli Society for Mathematical Statistics and Probability,1350-7265,1573-9759,4905,1995,A
Bioinformatics,Oxford University Press,1367-4803,1460-2059,4905,1998,A
Biostatistics,Oxford University Press,1465-4644,1468-4357,4905,2000,A
Canadian Journal of Statistics,Wiley-Blackwell Publishing,0319-5724,1708-945X,4905,1973,A
Electronic Journal of Probability,Institute of Mathematical Statistics,,1083-6489,4905,1996,A
Environmental and Ecological Statistics,Springer International Publishing,1352-8505,1573-3009,4905,1994,A
International Statistical Review,Wiley-Blackwell Publishing,0306-7734,1751-5823,4905,1932,A
Journal of Applied Probability,Applied Probability Trust,0021-9002,1475-6072,4905,1964,A
Journal of Multivariate Analysis,Elsevier,0047-259X,1095-7243,4905,1971,A
Journal of Statistical Planning and Inference,Elsevier,0378-3758,1873-1171,4905,1977,A
Journal of Statistical Software,Foundation for Open Access Statistics,1548-7660,,4905,1996,A
Journal of Theoretical Probability,Springer International Publishing,0894-9840,1572-9230,4905,1988,A
"Journal of the Royal Statistical Society, Series A (Statistics in Society)",Wiley-Blackwell Publishing,,1467-985X,4905,1838,A
"Journal of the Royal Statistical Society, Series C (Applied Statistics)",Wiley-Blackwell Publishing,,1467-9876,4905,1952,A
"Journal of the Royal Statistical Society, Series D (The Statistician)",Wiley-Blackwell Publishing,,1467-9884,4905,1950,A
Scandinavian Journal of Statistics,Wiley-Blackwell Publishing,,1467-9469,4905,1974,A
Statistica Neerlandica,Wiley-Blackwell Publishing,0039-0402,1467-9574,4905,1946,A
Statistica Sinica,Statistica Sinica,1017-0405,,4905,1991,A
Statistical Science,Institute of Mathematical Statistics,0883-4237,,4905,1986,A
Statistics and Computing,Springer International Publishing,0960-3174,1573-1375,4905,1991,A
Statistics in Medicine,Wiley-Blackwell Publishing,0277-6715,1097-0258,4905,1982,A
Stochastic Processes and their Applications,Elsevier,0304-4149,1879-209X,4905,1973,A
The Electronic Journal of Statistics,The Institute of Mathematical Statistics and the Bernoulli Society,1935-7524,,4905,,A
Theory of Probability and its Applications,SIAM Publications Online,0040-585X,1095-7219,4905,1956,A
